product_name,product_image,category
Τετράγωνο Βοηθητικό Τραπεζάκι Maison Classic Stand από Μασίφ Ξύλο Σταχτί 1τμχ Μ25xΠ25xΥ55εκ.,https://d.scdn.gr/images/sku_main_images/010651/10651484/fixedratio_20181212114159_maison_classic_stand_ei930_2_25x25x55cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Olympus Ξύλινο Wenge 1τμχ Μ100xΠ51xΥ42.5εκ.,https://c.scdn.gr/images/sku_main_images/015076/15076916/fixedratio_20180601112353_olympus_123_000039_100x51x42_5cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Tars Ξύλινο Sonoma 1τμχ Μ90xΠ60xΥ30.5εκ.,https://b.scdn.gr/images/sku_main_images/013916/13916035/fixedratio_20181213180753_tars_hm2238_01_90x60x30_5cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Acton Γυάλινο Μαύρο 1τμχ Μ123xΠ63xΥ44εκ.,https://a.scdn.gr/images/sku_main_images/021960/21960275/fixedratio_20200512105321_trapezaki_saloniou_acton_orthogonio_mayro_em523_1.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Roma Ξύλινο Oak 2τμχ Μ60xΠ60xΥ46εκ.,https://a.scdn.gr/images/sku_main_images/036220/36220342/fixedratio_20230412104010_strogylo_voithitiko_trapezaki_roma_xylino_oak_gp022_0072_1_m60xp60xy46ek.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Ξύλινο Natural 3τμχ Μ50xΠ35xΥ40εκ.,https://d.scdn.gr/images/sku_main_images/027763/27763679/fixedratio_20210608091433_voithitiko_trapezaki_orthogonio_natural_6_50_794_0004_50x35x40cm.jpeg,small_table
Τετράγωνο Βοηθητικό Τραπεζάκι Classic Stand από Μασίφ Ξύλο Καρυδί 1τμχ Μ25xΠ25xΥ65εκ.,https://a.scdn.gr/images/sku_main_images/010653/10653047/fixedratio_20200219130551_voithitiko_trapezaki_classic_stand_tetragono_kastania_es391_1.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Law 115 Ξύλινο Λευκό 1τμχ Μ115xΠ55xΥ48εκ.,https://c.scdn.gr/images/sku_main_images/015124/15124694/fixedratio_20200219130616_trapezaki_saloniou_law_115_leyko_orthogonio_sonoma_to_law115whi.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Boko Ξύλινο Καρυδί 1τμχ Μ40xΠ40xΥ50εκ.,https://a.scdn.gr/images/sku_main_images/021960/21960135/fixedratio_20220804090220_strogylo_voithitiko_trapezaki_boko_xylino_em9612_m40xp40xy50ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Hattie Ξύλινο Φυσικό 1τμχ Μ90xΠ50xΥ40εκ.,https://c.scdn.gr/images/sku_main_images/032290/32290959/fixedratio_20211111124925_trapezaki_saloniou_hattie_orthogonio_hm8757_90x50x40cm.jpeg,small_table
